KnowledgeId,SourcePoC,SourceType,Title,BusinessArea,UseCaseId,RecommendedApproach,RAGSuitable,BISuitable,AutomationSuitable,RuleBasedCheckSuitable,HumanReviewRequired,DeepDiveRequired,UseCaseDescription,InputData,Process,Output,DiscussionPoint,Keywords,SourceFile
P2-USECASE-UC001,PoC2,UseCaseMapping,BIM Issue Report Review Use Case,BIM Review,UC-001,RAG Support + Human Review,True,False,False,True,True,False,BIMに関する指摘内容を確認し、過去のルール、Fix Guide、関連資料を参照しながら対応方針を整理する業務。,BIM指摘内容|RuleId|Fix Guide|関連資料,指摘内容を確認し、関連するルールや過去ナレッジを検索して対応方針を整理する。,指摘対応方針の参考回答|確認ポイント|参照元一覧,RAG-style検索との相性は高いが、設計判断や施工判断を含む場合は人間レビューが必要。,BIM|issue|指摘|review|RAG|ナレッジ検索|Fix Guide|human review|UC-001,poc2_knowledge_samples.csv
P2-USECASE-UC002,PoC2,UseCaseMapping,BIM Data Quality Review Use Case,BIM Data Quality,UC-002,Rule-based Check + Human Review,False,True,True,True,True,False,BIMデータの不足、表記ゆれ、不整合を確認し、AI活用前のデータ品質を評価する業務。,Revit集計表|CSV|Rule Master|QualityScore,RuleIdに基づいて品質チェックを行い、問題箇所と修正候補を整理する。,品質チェック結果|QualityScore|Fix Guide|HumanReviewRequired,ルールベースチェックやBI集計に向いているが、修正要否は人間レビューが必要。,BIM data quality|品質チェック|RuleId|QualityScore|Fix Guide|AI readiness|UC-002,poc2_knowledge_samples.csv
P2-USECASE-UC003,PoC2,UseCaseMapping,AI Readiness Assessment Use Case,AI Readiness,UC-003,BI + Human Review,False,True,False,True,True,False,BIMデータがAI、BI、RAG、機械学習などに利用できる状態かを評価する業務。,品質チェック結果|RuleId|QualityScore|HumanReviewRequired,データ品質、識別子、カテゴリ、Room情報などを確認し、AI活用準備度を整理する。,AI Readiness Score|評価レポート|確認ポイント,スコア化や可視化には向いているが、最終的な利用可否は人間レビューが必要。,AI readiness|AI活用準備度|BI|score|QualityScore|human review|UC-003,poc2_knowledge_samples.csv
P2-USECASE-UC004,PoC2,UseCaseMapping,Fix Guide Search Use Case,BIM Knowledge,UC-004,RAG Support,True,False,False,True,False,False,品質チェック結果に対して、関連するFix Guideや確認方針を検索する業務。,RuleId|Category|Fix Guide|品質チェック結果,RuleIdやカテゴリをもとに関連するFix Guideを検索し、確認ポイントを提示する。,関連Fix Guide|確認ポイント|参照元,情報検索用途としてRAG-style検索に向いている。ただし修正判断は別途人間レビューが必要。,Fix Guide|修正方針|RAG|RuleId|Category|検索|UC-004,poc2_knowledge_samples.csv
P2-USECASE-UC005,PoC2,UseCaseMapping,Room Information Review Use Case,BIM Review,UC-005,RAG Support + Human Review,True,True,False,True,True,True,RoomName、RoomNumber、Area、Levelなどの部屋情報を確認し、AI活用や集計に使える状態かを整理する業務。,Room Schedule|RoomName|RoomNumber|Area|Level,部屋情報の不足や不整合を確認し、必要に応じて関連RuleやFix Guideを参照する。,Room情報確認結果|不足項目一覧|修正方針案,Room情報は設計意図や用途判断に関係するため、追加確認と人間レビューが必要になる場合がある。,room|部屋|RoomName|RoomNumber|Area|Level|RAG|BI|deep dive|UC-005,poc2_knowledge_samples.csv
P2-USECASE-UC006,PoC2,UseCaseMapping,Door Metadata Review Use Case,BIM Review,UC-006,Rule-based Check + Human Review,False,True,True,True,True,False,Door要素のElementId、UniqueId、FamilyName、TypeName、Name、LevelName、RoomName、RoomNumberを確認する業務。,pyRevit Metadata CSV|Door Schedule|ElementId|UniqueId,Door要素のmetadataを確認し、不足やAI Context化に不向きな情報を抽出する。,Door metadata確認結果|不足項目一覧|Fix Guide参照,metadata整理は自動化支援に向くが、名称や部屋関連情報の妥当性は人間レビューが必要。,door|ドア|metadata|ElementId|UniqueId|FamilyName|TypeName|RoomName|UC-006,poc2_knowledge_samples.csv
P2-USECASE-UC007,PoC2,UseCaseMapping,Construction AI Use Case Classification,AI DX Planning,UC-007,Classification Rule + Human Review,False,True,True,True,True,False,建設業務ユースケースをRAG、BI、自動化、ルールベースチェック、人間レビュー、深掘り対象に分類する業務。,業務ユースケース一覧|分類ルール|判断メモ,入力された業務内容を分類ルールに基づいて整理し、AI/DX活用パターンを付与する。,RecommendedApproach|分類結果|協議用メモ,分類は協議材料として有効だが、最終的な導入判断は人間レビューが必要。,use case mapping|分類|RecommendedApproach|AI DX|RAG|BI|automation|UC-007,poc2_knowledge_samples.csv
P2-USECASE-UC008,PoC2,UseCaseMapping,RAG Suitable Use Case Identification,AI DX Planning,UC-008,RAG Support,True,False,False,False,False,False,過去資料、ルール、Fix Guide、FAQ、ナレッジ参照が有効な業務をRAG候補として抽出する業務。,業務ユースケース|参照資料|ナレッジ候補,業務内容にナレッジ検索や過去事例参照が含まれるかを確認し、RAG適性を整理する。,RAG候補一覧|検索対象候補|参照元候補,RAG候補の抽出は可能だが、実運用ではナレッジ品質と更新ルールの確認が必要。,RAG|ナレッジ検索|過去資料|FAQ|Fix Guide|use case|UC-008,poc2_knowledge_samples.csv
P2-USECASE-UC009,PoC2,UseCaseMapping,BI Dashboard Suitable Use Case Identification,AI DX Planning,UC-009,BI / Dashboard,False,True,False,False,False,False,件数、割合、スコア、進捗、分類結果などを可視化するのに向いた業務をBI候補として抽出する業務。,集計データ|分類結果|スコア|件数,定量化しやすい項目を確認し、BIやダッシュボード化の候補として整理する。,BI候補一覧|ダッシュボード項目案|集計指標,BI候補の抽出は可能だが、正しいKPI設計や運用判断は人間レビューが必要。,BI|dashboard|ダッシュボード|集計|KPI|score|件数|UC-009,poc2_knowledge_samples.csv
P2-USECASE-UC010,PoC2,UseCaseMapping,Automation Candidate Use Case Identification,AI DX Planning,UC-010,Automation Support + Human Review,False,False,True,True,True,True,繰り返し作業や定型処理を自動化支援候補として抽出する業務。,業務手順|入力データ|出力データ|判断条件,業務が定型化されているか、入力と出力が明確か、人間判断が必要かを確認する。,自動化候補一覧|確認事項|HumanReviewRequired,自動化候補であっても、設計判断、施工判断、法規判断、安全判断、契約判断を含む場合は人間レビューが必要。,automation|自動化|定型作業|workflow|human review|deep dive|UC-010,poc2_knowledge_samples.csv
