QuestionId,Question,QuestionType,Rank,DocumentId,SourcePoC,SourceType,Title,MatchedKeywords,Score,RuleId,UseCaseId,RecommendedApproach,HumanReviewRequired,DeepDiveRequired,SourceFile,ExpectedSourcePoC,ExpectedSourceType,ExpectedRuleId,ExpectedUseCaseId,ExpectedFocus
Q001,Door Name Missing Rule は何を意味しますか,PoC1 Rule Question,1,P1-RULE-D001,PoC1,RuleMaster,Door Name Missing Rule,door|name|missing|rule|001|ai|readiness|human|review,42,D-001,,,True,False,poc1_knowledge_samples.csv,PoC1,RuleMaster,D-001,,Door Name不足の意味とAI Readinessへの影響
Q001,Door Name Missing Rule は何を意味しますか,PoC1 Rule Question,2,P1-FIX-F001,PoC1,FixGuide,Door Name Missing Fix Guide,door|name|missing|rule|001|ai|readiness,29,D-001,,,True,False,poc1_knowledge_samples.csv,PoC1,RuleMaster,D-001,,Door Name不足の意味とAI Readinessへの影響
Q001,Door Name Missing Rule は何を意味しますか,PoC1 Rule Question,3,P1-RULE-D002,PoC1,RuleMaster,Door Level Missing Rule,door|name|missing|rule|ai|readiness,26,D-002,,,True,False,poc1_knowledge_samples.csv,PoC1,RuleMaster,D-001,,Door Name不足の意味とAI Readinessへの影響
Q002,DoorのLevel情報が不足している場合は何を確認すべきですか,PoC1 Rule Question,1,P1-RULE-D002,PoC1,RuleMaster,Door Level Missing Rule,door|level|002|階情報|確認,28,D-002,,,True,False,poc1_knowledge_samples.csv,PoC1,RuleMaster,D-002,,Door Level不足時の確認ポイント
Q002,DoorのLevel情報が不足している場合は何を確認すべきですか,PoC1 Rule Question,2,P1-RULE-R104,PoC1,RuleMaster,Room Level Missing Rule,level|階情報|確認,17,R-104,,,True,False,poc1_knowledge_samples.csv,PoC1,RuleMaster,D-002,,Door Level不足時の確認ポイント
Q002,DoorのLevel情報が不足している場合は何を確認すべきですか,PoC1 Rule Question,3,P2-USECASE-UC006,PoC2,UseCaseMapping,Door Metadata Review Use Case,door|level|確認,10,,UC-006,Rule-based Check + Human Review,True,False,poc2_knowledge_samples.csv,PoC1,RuleMaster,D-002,,Door Level不足時の確認ポイント
Q003,DoorとRoomの関連情報が不足していると何が問題ですか,PoC1 Rule Question,1,P1-RULE-D003,PoC1,RuleMaster,Door Room Relation Missing Rule,door|room|relation|003|ai|context|deep|dive,39,D-003,,,True,True,poc1_knowledge_samples.csv,PoC1,RuleMaster,D-003,,DoorとRoomの関連不足がAI Contextへ与える影響
Q003,DoorとRoomの関連情報が不足していると何が問題ですか,PoC1 Rule Question,2,P2-USECASE-UC005,PoC2,UseCaseMapping,Room Information Review Use Case,room|ai|deep|dive,15,,UC-005,RAG Support + Human Review,True,True,poc2_knowledge_samples.csv,PoC1,RuleMaster,D-003,,DoorとRoomの関連不足がAI Contextへ与える影響
Q003,DoorとRoomの関連情報が不足していると何が問題ですか,PoC1 Rule Question,3,P1-RULE-D002,PoC1,RuleMaster,Door Level Missing Rule,door|ai|context,14,D-002,,,True,False,poc1_knowledge_samples.csv,PoC1,RuleMaster,D-003,,DoorとRoomの関連不足がAI Contextへ与える影響
Q004,Room Name Missing Rule は何を意味しますか,PoC1 Rule Question,1,P1-RULE-R101,PoC1,RuleMaster,Room Name Missing Rule,room|name|missing|rule|roomname|101|ai|readiness,39,R-101,,,True,False,poc1_knowledge_samples.csv,PoC1,RuleMaster,R-101,,RoomName不足の意味と検索対象ナレッジへの影響
